update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,927,6.0822125,2.906286989119673,0.001640718663111329,1.7843881845474243,-0.01620316319167614,0.1175759881734848,2047,2047
1,0,20,120,873,7.886075000000002,5.093055702420386,0.00018428417388349771,1.7848173379898071,-0.01766388863325119,0.15343521535396576,2848,4895
2,0,20,120,348,3.4553374999999997,1.8689506692894573,0.005905554164201021,1.7846219539642334,-0.011940665543079376,0.1459154188632965,1857,6752
3,0,20,120,959,6.121275,2.6715998244970987,-0.013597379438579082,1.7842847108840942,-0.03144022449851036,0.289082795381546,1188,7940
4,0,20,120,418,9.2146375,4.179074518047777,0.005980466026812792,1.7837872505187988,-0.011857407167553902,0.10913818329572678,2057,9997
5,0,20,120,859,6.984400000000001,3.4398168027003377,0.011779814958572388,1.7841789722442627,-0.006061974912881851,0.31032201647758484,2053,12050
6,0,20,120,722,6.383112499999999,3.4461160482176836,0.004067881498485804,1.784400463104248,-0.013776123523712158,0.1306469440460205,3388,15438
7,0,20,120,852,11.72945,5.893913652183894,-0.004296029917895794,1.7842974662780762,-0.02213900536298752,0.1716172844171524,2420,17858
8,0,20,120,885,9.24025,3.6437478148588927,-0.015493666753172874,1.7841484546661377,-0.03333514928817749,0.28709593415260315,2247,20105
9,0,20,120,392,11.85895,5.5325223360402696,0.0043345424346625805,1.7833820581436157,-0.013499276712536812,0.27049872279167175,2158,22263
10,0,20,120,894,6.8777375,3.5238391627389576,-0.006603098940104246,1.7834665775299072,-0.024437764659523964,0.14349350333213806,2711,24974
11,0,20,120,635,11.052225,5.583279203093445,0.0002389441360719502,1.7835413217544556,-0.017596468329429626,0.1415514349937439,2584,27558
12,0,20,120,930,14.664349999999999,7.752028550407605,-0.021914392709732056,1.7820323705673218,-0.03973471373319626,0.39727866649627686,1745,29303
13,0,20,120,760,8.030349999999999,4.679743967088844,-0.003180687315762043,1.781390905380249,-0.02099459618330002,0.17786575853824615,1486,30789
14,0,20,120,541,3.9370125000000007,1.9393887132122374,-0.0036810655146837234,1.7822388410568237,-0.021503454074263573,0.16725002229213715,1626,32415
15,0,20,120,781,12.760824999999997,6.969819404107651,0.005522481631487608,1.7803523540496826,-0.012281041592359543,0.3129024803638458,1907,34322
16,0,20,120,917,10.798737499999998,5.99558483211289,-0.03844552859663963,1.7789874076843262,-0.05623540282249451,0.40038788318634033,1438,35760
17,0,20,120,897,8.3773875,4.026391571051844,-0.01414114236831665,1.7785090208053589,-0.031926229596138,0.1489563137292862,2422,38182
18,0,20,120,937,11.592524999999998,6.642726848341928,-0.05014351010322571,1.7758291959762573,-0.06790180504322052,0.36867979168891907,1268,39450
19,0,20,120,672,7.823637499999999,3.5814932623285576,-0.035767823457717896,1.7745096683502197,-0.05351291969418526,0.25161153078079224,1298,40748
20,0,20,120,520,10.23435,5.353798939701107,0.0030454315710812807,1.7752127647399902,-0.014706696383655071,0.12605613470077515,1891,42639
21,0,20,120,495,7.1234375,4.31099489702941,-0.05020655691623688,1.77257239818573,-0.06793227791786194,0.3886154890060425,1870,44509
22,0,20,120,571,12.7392875,7.895470939806204,-0.009958295151591301,1.771589756011963,-0.027674192562699318,0.16128107905387878,1691,46200
23,0,20,120,566,16.2468125,8.000389497022239,-0.00992654450237751,1.7673832178115845,-0.027600375935435295,0.20135840773582458,1923,48123
24,0,20,120,576,8.6021875,4.79624890203627,-0.015182429924607277,1.7678587436676025,-0.03286101669073105,0.11190533638000488,2099,50222
25,0,20,120,550,6.435912499999999,2.788740647131273,-0.023051701486110687,1.765427589416504,-0.040705978870391846,0.2295943796634674,1801,52023
26,0,20,120,749,6.123625,4.181801791515508,-0.01844915933907032,1.759210467338562,-0.0360412634909153,0.23900577425956726,1234,53257
27,0,20,120,965,10.733550000000001,6.958303638440762,-0.015099572949111462,1.7594248056411743,-0.03269382193684578,0.2612055838108063,1745,55002
