variant,alpha,beta,gamma,seed,description,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,total_compute_cost,forced_execute_steps,action_count_Execute_Ready_Job,action_count_Defer_Job,action_count_Scale_Up,action_count_Scale_Down,action_count_Reprioritize_Queue,action_count_Pause_LowPriority_Job
gamma_100,1.0,0.1,100.0,100,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,101,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,102,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,103,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
gamma_100,1.0,0.1,100.0,104,gamma=100 (risk dominates; should avoid execute).,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_beta_gamma_extreme_neg_execute,0.0,100.0,100.0,100,Should punish execute very hard; only stress-guard forces it.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_beta_gamma_extreme_neg_execute,0.0,100.0,100.0,101,Should punish execute very hard; only stress-guard forces it.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_beta_gamma_extreme_neg_execute,0.0,100.0,100.0,102,Should punish execute very hard; only stress-guard forces it.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_beta_gamma_extreme_neg_execute,0.0,100.0,100.0,103,Should punish execute very hard; only stress-guard forces it.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_beta_gamma_extreme_neg_execute,0.0,100.0,100.0,104,Should punish execute very hard; only stress-guard forces it.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
best_task_cost_off,1.0,0.1,1.0,100,Turn off the task-ranking cost weight.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
best_task_cost_off,1.0,0.1,1.0,101,Turn off the task-ranking cost weight.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
best_task_cost_off,1.0,0.1,1.0,102,Turn off the task-ranking cost weight.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
best_task_cost_off,1.0,0.1,1.0,103,Turn off the task-ranking cost weight.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
best_task_cost_off,1.0,0.1,1.0,104,Turn off the task-ranking cost weight.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
stress_guard_disabled,1.0,0.1,1.0,100,Effectively disables _should_force_execution so alpha/beta/gamma have to win on their own.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled,1.0,0.1,1.0,101,Effectively disables _should_force_execution so alpha/beta/gamma have to win on their own.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled,1.0,0.1,1.0,102,Effectively disables _should_force_execution so alpha/beta/gamma have to win on their own.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled,1.0,0.1,1.0,103,Effectively disables _should_force_execution so alpha/beta/gamma have to win on their own.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled,1.0,0.1,1.0,104,Effectively disables _should_force_execution so alpha/beta/gamma have to win on their own.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled_plus_alpha_0,0.0,0.1,1.0,100,Disable the stress guard AND zero alpha. Only deviates from the reference trace if the utility coefficients are actually doing work.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled_plus_alpha_0,0.0,0.1,1.0,101,Disable the stress guard AND zero alpha. Only deviates from the reference trace if the utility coefficients are actually doing work.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled_plus_alpha_0,0.0,0.1,1.0,102,Disable the stress guard AND zero alpha. Only deviates from the reference trace if the utility coefficients are actually doing work.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled_plus_alpha_0,0.0,0.1,1.0,103,Disable the stress guard AND zero alpha. Only deviates from the reference trace if the utility coefficients are actually doing work.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
stress_guard_disabled_plus_alpha_0,0.0,0.1,1.0,104,Disable the stress guard AND zero alpha. Only deviates from the reference trace if the utility coefficients are actually doing work.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
urgency_weight_off,1.0,0.1,1.0,100,Drop execute's urgency bonus; tests one hand constant.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
urgency_weight_off,1.0,0.1,1.0,101,Drop execute's urgency bonus; tests one hand constant.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
urgency_weight_off,1.0,0.1,1.0,102,Drop execute's urgency bonus; tests one hand constant.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
urgency_weight_off,1.0,0.1,1.0,103,Drop execute's urgency bonus; tests one hand constant.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
urgency_weight_off,1.0,0.1,1.0,104,Drop execute's urgency bonus; tests one hand constant.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
stress_guard_price_1_1,1.0,0.1,1.0,100,Make the stress guard always pass on price (>= any spot). Tests whether the price side of the guard is binding.,300,63,18,0.63,0.7181920380901997,731.286,275,275,0,25,0,0,0
stress_guard_price_1_1,1.0,0.1,1.0,101,Make the stress guard always pass on price (>= any spot). Tests whether the price side of the guard is binding.,300,57,22,0.57,0.6445611156685809,909.308,270,270,0,30,0,0,0
stress_guard_price_1_1,1.0,0.1,1.0,102,Make the stress guard always pass on price (>= any spot). Tests whether the price side of the guard is binding.,300,58,20,0.58,0.6176386732980644,676.4,270,270,0,30,0,0,0
