variant,seed,step,action,forced_execute,score_Execute_Ready_Job,score_Defer_Job,score_Scale_Up,score_Scale_Down,score_Reprioritize_Queue,score_Pause_LowPriority_Job
reference_phase1,100,58,Execute_Ready_Job,True,7.023367,-7.5052,-6.0,-20.0,1.0026,17.4
reference_phase1,100,59,Scale_Up,False,6.711367,-7.5052,148.5252,-20.0,1.0026,17.4
reference_phase1,100,60,Execute_Ready_Job,True,7.030567,-7.5052,-25.0,-20.0,1.0026,17.4
reference_phase1,100,61,Execute_Ready_Job,True,7.035367,-7.4988,-25.0,-20.0,0.9994,17.4
reference_phase1,100,62,Scale_Up,False,5.30576,-7.4988,298.9188,-20.0,0.9994,17.4
reference_phase1,100,63,Execute_Ready_Job,True,6.901705,-7.4988,-25.0,-20.0,0.9994,17.4
reference_phase1,100,64,Execute_Ready_Job,True,5.30756,-7.4988,-25.0,-20.0,0.9994,17.4
reference_phase1,100,65,Scale_Up,False,-10000.0,-7.4988,435.6788,-20.0,0.9994,17.4
reference_phase1,100,66,Execute_Ready_Job,True,7.018567,-7.492,-25.0,-20.0,0.996,17.4
reference_phase1,100,67,Execute_Ready_Job,True,6.90422,-7.492,-25.0,-20.0,0.996,17.4
reference_phase1,100,68,Execute_Ready_Job,True,6.91622,-7.492,-6.0,-20.0,0.996,17.4
reference_phase1,100,69,Execute_Ready_Job,True,6.89942,-7.492,-6.0,-20.0,0.996,17.4
reference_phase1,100,70,Execute_Ready_Job,True,6.90662,-7.4972,-6.0,-20.0,0.9986,17.4
reference_phase1,100,71,Execute_Ready_Job,True,6.91622,-7.4972,-6.0,-20.0,0.9986,17.4
reference_phase1,100,72,Execute_Ready_Job,True,6.91382,-7.4972,-6.0,-20.0,0.9986,17.4
reference_phase1,100,73,Execute_Ready_Job,True,6.90182,-7.5016,-6.0,-20.0,1.0008,17.4
reference_phase1,100,74,Execute_Ready_Job,True,6.61622,-7.3388,-6.0,-20.0,1.1994,18.2
reference_phase1,100,75,Execute_Ready_Job,True,6.91142,-7.4988,-6.0,-20.0,0.9994,17.4
reference_phase1,100,76,Execute_Ready_Job,True,6.90902,-7.5004,-6.0,-20.0,1.0002,17.4
reference_phase1,100,77,Execute_Ready_Job,True,6.90422,-7.5004,-6.0,-20.0,1.0002,17.4
reference_phase1,100,78,Execute_Ready_Job,True,6.88982,-7.5004,-6.0,-20.0,1.0002,17.4
reference_phase1,100,79,Execute_Ready_Job,True,6.90902,-7.5004,-6.0,-20.0,1.0002,17.4
reference_phase1,100,80,Execute_Ready_Job,True,6.92822,-7.5004,-6.0,-20.0,1.0002,17.4
reference_phase1,100,81,Execute_Ready_Job,True,6.94022,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,82,Execute_Ready_Job,True,6.94742,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,83,Execute_Ready_Job,True,6.93062,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,84,Scale_Up,False,6.33542,-7.4964,165.7964,-20.0,0.9982,17.4
reference_phase1,100,85,Execute_Ready_Job,True,6.94742,-7.4964,-25.0,-20.0,0.9982,17.4
reference_phase1,100,86,Execute_Ready_Job,True,6.94742,-7.4964,-25.0,-20.0,0.9982,17.4
reference_phase1,100,87,Execute_Ready_Job,True,6.94022,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,88,Execute_Ready_Job,True,6.94262,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,89,Execute_Ready_Job,True,6.94022,-7.4912,-6.0,-20.0,0.9956,17.4
reference_phase1,100,90,Execute_Ready_Job,True,6.93782,-7.4912,-6.0,-20.0,0.9956,17.4
reference_phase1,100,91,Execute_Ready_Job,True,6.92822,-7.4912,-6.0,-20.0,0.9956,17.4
reference_phase1,100,92,Execute_Ready_Job,True,6.94262,-7.4912,-6.0,-20.0,0.9956,17.4
reference_phase1,100,93,Execute_Ready_Job,True,6.64022,-7.4912,-6.0,-20.0,0.9956,17.4
reference_phase1,100,94,Execute_Ready_Job,True,6.62582,-7.4912,-6.0,-20.0,0.9956,17.4
reference_phase1,100,95,Scale_Up,False,6.63782,-7.4912,132.8712,-20.0,0.9956,17.4
reference_phase1,100,96,Execute_Ready_Job,True,6.93062,-7.4964,-25.0,-20.0,0.9982,17.4
reference_phase1,100,97,Execute_Ready_Job,True,6.92342,-7.4964,-25.0,-20.0,0.9982,17.4
reference_phase1,100,98,Execute_Ready_Job,True,6.90422,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,99,Execute_Ready_Job,True,6.57872,-7.4964,-6.0,-20.0,0.9982,17.4
reference_phase1,100,100,Scale_Up,False,6.025,-7.4964,153.9964,-20.0,0.9982,17.4
reference_phase1,100,101,Execute_Ready_Job,True,6.8644,-7.5044,-25.0,-61.36,1.0022,17.4
reference_phase1,100,102,Execute_Ready_Job,True,6.874,-7.5044,-25.0,-20.0,1.0022,17.4
reference_phase1,100,103,Execute_Ready_Job,True,6.8716,-7.5044,-6.0,-20.0,1.0022,17.4
reference_phase1,100,104,Execute_Ready_Job,True,6.862,-7.5044,-6.0,-20.0,1.0022,17.4
reference_phase1,100,105,Execute_Ready_Job,True,6.8788,-7.5044,-6.0,-20.0,1.0022,17.4
reference_phase1,100,106,Execute_Ready_Job,True,6.586,-7.5044,-6.0,-20.0,1.0022,17.4
reference_phase1,100,107,Execute_Ready_Job,True,6.886,-7.516,-6.0,-20.0,1.008,17.4
reference_phase1,100,108,Execute_Ready_Job,True,6.886,-7.516,-6.0,-20.0,1.008,17.4
reference_phase1,100,109,Execute_Ready_Job,True,6.886,-7.516,-6.0,-20.0,1.008,17.4
reference_phase1,100,110,Execute_Ready_Job,True,6.886,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,111,Execute_Ready_Job,True,6.886,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,112,Execute_Ready_Job,True,6.886,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,113,Execute_Ready_Job,True,6.886,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,114,Scale_Up,False,5.18992,-7.5136,242.2136,-20.0,1.0068,17.4
