iteration,mean_undisc_return,policy_loss,value_loss,entropy,approx_kl,clip_frac,env_steps_cumulative
0,40.015074999999996,-0.045599889010190964,3.9577715396881104,1.7566165924072266,0.00344792939722538,0.203125,4800
1,49.9708875,-0.18634147942066193,4.767026424407959,1.7257261276245117,0.013104190118610859,0.0677083358168602,9600
2,59.4571875,-0.01107566338032484,6.1257004737854,1.711222767829895,0.012543316930532455,0.2447916716337204,14400
3,69.697125,-0.16777001321315765,7.06817102432251,1.674837589263916,-0.015505737625062466,0.2291666716337204,19200
4,77.74282500000001,-0.09251651912927628,10.949395179748535,1.6195889711380005,0.0031186791602522135,0.0,24000
5,74.20325,0.031087389215826988,12.024916648864746,1.5405880212783813,0.001115940511226654,0.010416666977107525,28800
6,84.653925,0.11674833297729492,18.183237075805664,1.4381217956542969,0.00797820370644331,0.0,33600
7,88.78355,0.06108542159199715,15.814459800720215,1.3112684488296509,0.012511375360190868,0.03125,38400
8,95.0181625,0.06929237395524979,18.791671752929688,1.19957435131073,0.007058863062411547,0.046875,43200
9,90.2600125,-0.0638955608010292,15.506043434143066,1.1087757349014282,6.263764953473583e-05,0.0520833320915699,48000
10,86.7633625,-0.021977579221129417,19.227567672729492,1.119691252708435,0.0030201394110918045,0.0,52800
11,95.0242375,-0.05013948678970337,22.786439895629883,1.0183950662612915,0.0047312830574810505,0.046875,57600
12,88.8553,-0.03559448942542076,29.38126564025879,0.9237127304077148,-0.0011088649043813348,0.0,62400
13,90.92975,-0.08647910505533218,19.959932327270508,0.956180989742279,-0.0013547079870477319,0.0364583320915699,67200
14,94.1879,-0.004005085211247206,21.3934326171875,0.8306708931922913,0.010556970722973347,0.0,72000
15,92.9311625,0.10216056555509567,20.57171630859375,0.722693145275116,0.0020933698397129774,0.015625,76800
16,92.74136250000001,-0.025342190638184547,21.428361892700195,0.6984910368919373,0.0006441374425776303,0.0,81600
17,88.3718375,0.006451732944697142,22.858102798461914,0.6058748960494995,-0.0014972450444474816,0.0,86400
18,88.2853125,0.20163369178771973,44.80523681640625,0.5565718412399292,0.005769452545791864,0.010416666977107525,91200
19,95.418025,0.024804428219795227,27.611358642578125,0.5897596478462219,-0.00040816390537656844,0.0,96000
20,72.88225,-0.023674480617046356,23.760955810546875,0.5439314246177673,-0.010241556912660599,0.0416666679084301,100800
21,88.411025,0.017018457874655724,37.071678161621094,0.5809357762336731,0.0012284070253372192,0.0052083334885537624,105600
22,89.7782,-0.10368824750185013,24.66529083251953,0.6036635637283325,0.003520588157698512,0.0364583320915699,110400
23,101.38537500000001,-0.04716699197888374,33.22913360595703,0.5673641562461853,-0.0009182157809846103,0.02083333395421505,115200
24,96.3577375,0.029781274497509003,29.173120498657227,0.5127412676811218,-0.0006415943498723209,0.0052083334885537624,120000
25,79.93881249999998,-0.027570342645049095,30.534265518188477,0.5598008632659912,-0.0003711084427777678,0.0,124800
26,95.94346250000001,-0.0024893588852137327,35.720420837402344,0.5327343344688416,0.0015403740108013153,0.02083333395421505,129600
27,98.400375,-0.08542731404304504,28.67486572265625,0.5831867456436157,0.007670294493436813,0.0364583320915699,134400
28,108.8947125,0.050822749733924866,33.472110748291016,0.5843523144721985,0.00714678643271327,0.0416666679084301,139200
29,116.8610875,-0.0366850383579731,29.955787658691406,0.5534018874168396,0.005654935259371996,0.0052083334885537624,144000
30,110.563875,0.01833665929734707,27.06574821472168,0.5955901145935059,0.006987817119807005,0.0052083334885537624,148800
31,119.8414375,-0.13191185891628265,27.888154983520508,0.6488875150680542,-0.0037084196228533983,0.0,153600
