iteration,mean_undisc_return,policy_loss,value_loss,entropy,approx_kl,clip_frac,env_steps_cumulative
0,33.79344999999999,0.016769928857684135,4.949260234832764,1.7794188261032104,0.020210960879921913,0.1354166716337204,4800
1,43.2105125,0.039953675121068954,4.998745441436768,1.7535514831542969,0.02653374709188938,0.1770833283662796,9600
2,52.4696125,0.04148658737540245,5.873864650726318,1.7372140884399414,-0.0011914843926206231,0.109375,14400
3,48.6768,0.09731476753950119,5.606063365936279,1.6713361740112305,0.00039096982800401747,0.3020833432674408,19200
4,65.97915,-0.007040609139949083,9.57563304901123,1.6105459928512573,0.01801888830959797,0.125,24000
5,71.30146249999999,-0.0385785810649395,12.06495189666748,1.5021328926086426,-0.005936980247497559,0.0,28800
6,74.778475,-0.06796873360872269,10.70079517364502,1.353485107421875,0.013397500850260258,0.2291666716337204,33600
7,87.1935625,-0.04547429084777832,10.728717803955078,1.2331486940383911,0.020862095057964325,0.203125,38400
8,108.019375,-0.012062874622642994,19.437837600708008,1.1780682802200317,0.010006560944020748,0.0625,43200
9,100.5297375,-0.07465235888957977,21.081300735473633,1.0767477750778198,0.006486973259598017,0.0572916679084301,48000
10,101.5773125,-0.021692365407943726,31.9234561920166,0.9395816922187805,0.004127622116357088,0.015625,52800
11,104.1369875,-0.0779915526509285,24.31523895263672,0.8099365830421448,0.019586337730288506,0.1145833358168602,57600
12,107.70943749999999,0.030299747362732887,25.147737503051758,0.8345604538917542,-0.003177069127559662,0.0,62400
13,109.21314999999998,0.02496417425572872,18.288021087646484,0.7793235778808594,0.00236530345864594,0.0,67200
14,119.4671625,0.05669424310326576,32.9734992980957,0.6740505695343018,0.010780476965010166,0.0052083334885537624,72000
15,113.4531375,-0.021080026403069496,27.30767250061035,0.6631972789764404,0.001323118805885315,0.0,76800
16,112.8539625,-0.15507341921329498,21.640350341796875,0.6784749627113342,0.004443012177944183,0.0,81600
17,113.9903625,0.083182692527771,32.45680618286133,0.6126431822776794,-0.0029881063383072615,0.010416666977107525,86400
18,107.9812125,0.05051596090197563,28.071725845336914,0.5291864275932312,0.01543541718274355,0.0,91200
19,108.80172499999999,0.09015000611543655,46.66645431518555,0.5189113616943359,-0.0071160211227834225,0.03125,96000
20,115.4408,-0.0009892607340589166,42.43348693847656,0.48704418540000916,0.005428023636341095,0.046875,100800
21,114.06634999999999,0.008157302625477314,47.26094436645508,0.4723358154296875,0.005213757511228323,0.0,105600
22,130.77317499999998,-0.0866643413901329,44.5062370300293,0.5126085877418518,6.059805400582263e-06,0.0052083334885537624,110400
23,112.88716249999999,0.005299972835928202,42.88064956665039,0.5185022950172424,0.003464729757979512,0.0,115200
24,117.6195125,-0.0519690178334713,49.9533576965332,0.4516410827636719,0.002891605021432042,0.0,120000
25,124.91084999999998,-0.009040874429047108,38.09511947631836,0.45937058329582214,0.0027474139351397753,0.0364583320915699,124800
26,116.94132499999999,0.03451356291770935,50.521820068359375,0.4626949727535248,-0.0030886679887771606,0.0364583320915699,129600
27,120.9782625,-0.05375313386321068,34.10212707519531,0.40135297179222107,-0.0021071620285511017,0.0,134400
