update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
22,0,20,120,300,12.800799999999997,6.270487278113203,-0.012670237571001053,1.7776459455490112,-0.030446697026491165,0.2092135101556778,750,11129
23,0,20,120,300,17.148149999999998,7.102662922226769,-0.009845144115388393,1.7759373188018799,-0.027604516595602036,0.2505873441696167,1055,12184
24,0,20,120,300,14.755299999999998,8.237225036030395,-0.03045802190899849,1.7739901542663574,-0.048197925090789795,0.3503263294696808,330,12514
25,0,20,120,300,3.5542,2.339203348092983,-0.07084651291370392,1.7733314037322998,-0.08857982605695724,0.5850252509117126,161,12675
26,0,20,120,300,10.9658,6.392024766216298,0.03837919607758522,1.7708841562271118,0.02067035436630249,0.2835140526294708,379,13054
27,0,20,120,300,18.879399999999997,10.763699390272823,-0.0196058452129364,1.77101731300354,-0.03731601685285568,0.19700491428375244,702,13756
28,0,20,120,300,5.1667999999999985,2.7714518664027556,-0.06539244204759598,1.7697956562042236,-0.0830903947353363,0.7557308673858643,331,14087
29,0,20,120,300,6.0613,4.375830909636866,0.054305776953697205,1.7686457633972168,0.03661932051181793,0.5486029386520386,203,14290
30,0,20,120,300,10.9284,6.576965436366057,-0.007298676297068596,1.7693448066711426,-0.024992123246192932,0.23828788101673126,687,14977
31,0,20,120,300,9.117049999999999,4.419641012948755,0.014586548320949078,1.764582872390747,-0.0030592801049351692,0.3796471357345581,286,15263
32,0,20,120,300,9.885800000000001,5.197527900254967,-0.03542039915919304,1.7646136283874512,-0.05306653678417206,0.2764008939266205,273,15536
33,0,20,120,300,9.64925,5.909187927052101,-0.04118289798498154,1.7644214630126953,-0.05882710963487625,0.3672177791595459,320,15856
34,0,20,120,300,11.753700000000002,6.34260665942424,-0.005259170196950436,1.7639083862304688,-0.022898253053426743,0.17163565754890442,397,16253
35,0,20,120,300,7.54815,5.943037398748091,-0.013751798309385777,1.7676465511322021,-0.031428262591362,0.36734211444854736,412,16665
36,0,20,120,300,8.9286,5.500218872331948,-0.04426819458603859,1.7615034580230713,-0.06188322603702545,0.32887423038482666,268,16933
37,0,20,120,300,7.3126500000000005,4.93173504287748,-0.05638818442821503,1.7629380226135254,-0.07401756197214127,0.33773261308670044,432,17365
38,0,20,120,300,11.610349999999999,7.824118758038368,-0.026697106659412384,1.7610139846801758,-0.044307246804237366,0.4781128764152527,296,17661
39,0,20,120,300,10.645049999999998,6.0861158123263985,-0.007051069755107164,1.763495683670044,-0.024686025455594063,0.18370270729064941,647,18308
40,0,20,120,300,9.5441,6.08125925640569,-0.03148894011974335,1.7633543014526367,-0.04912248253822327,0.37252190709114075,528,18836
41,0,20,120,300,8.896899999999999,6.1539989935303225,-0.03434189036488533,1.76578950881958,-0.051999785006046295,0.23887057602405548,619,19455
