update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,393,12.3143,6.272878698749405,-0.0009372126660309732,1.7867728471755981,-0.018804939463734627,0.12607216835021973,1776,1776
1,0,20,120,857,6.1950875,2.85252687061128,0.0026136909145861864,1.7871440649032593,-0.015257748775184155,0.19121098518371582,1867,3643
2,0,20,120,713,3.6297625000000004,2.1437736685181523,0.012114082463085651,1.7868156433105469,-0.005754073150455952,0.3337569236755371,918,4561
3,0,20,120,798,6.207925,3.112923177302478,-0.007822822779417038,1.787147045135498,-0.025694292038679123,0.2225808948278427,1218,5779
4,0,20,120,639,5.894174999999999,3.2590376183461105,-0.006392379757016897,1.7873769998550415,-0.02426614984869957,0.22453807294368744,1594,7373
5,0,20,120,581,8.203824999999998,4.493447732406812,-0.004027555231004953,1.7874693870544434,-0.02190224826335907,0.3024333715438843,1576,8949
6,0,20,120,683,10.1158625,5.114294780387995,-0.011610858142375946,1.7869212627410889,-0.029480069875717163,0.17562879621982574,1864,10813
7,0,20,120,679,9.8376375,4.406794174494086,0.0019192947074770927,1.7866630554199219,-0.015947334468364716,0.16636358201503754,2257,13070
8,0,20,120,828,6.6903250000000005,2.5757924129958414,0.0016870812978595495,1.786110520362854,-0.01617402397096157,0.18070760369300842,1305,14375
9,0,20,120,985,16.763325000000002,9.236289492702163,-0.009410453028976917,1.786024570465088,-0.027270697057247162,0.23704645037651062,2278,16653
10,0,20,120,907,8.953124999999998,4.263459658217535,-0.007711505051702261,1.7859166860580444,-0.025570672005414963,0.32440894842147827,1978,18631
11,0,20,120,402,8.2897875,4.694918112258231,-0.004475034307688475,1.7857078313827515,-0.02233211323618889,0.2525906562805176,1809,20440
12,0,20,120,610,6.988149999999999,4.192747370270634,-0.004899518098682165,1.7854732275009155,-0.022754250094294548,0.13471390306949615,2194,22634
13,0,20,120,996,4.9990499999999995,2.0125145858831206,-0.044846631586551666,1.7846806049346924,-0.06269343942403793,0.4292384088039398,1366,24000
14,0,20,120,899,13.869875,7.177808721072672,-0.007062127348035574,1.7841229438781738,-0.02490335702896118,0.21658875048160553,2324,26324
15,0,20,120,543,9.7579125,4.990085999377351,-0.014555376954376698,1.7836484909057617,-0.03239186108112335,0.17314237356185913,1902,28226
16,0,20,120,473,7.601362499999999,3.555748753179454,-0.00512682506814599,1.7821937799453735,-0.02294876240193844,0.13206109404563904,1907,30133
17,0,20,120,621,8.962799999999998,5.262023890550733,-0.018743589520454407,1.7821608781814575,-0.03656519949436188,0.2906983196735382,2047,32180
18,0,20,120,958,4.6948,2.508133396671945,-0.011736627668142319,1.780747890472412,-0.029544105753302574,0.21454715728759766,1008,33188
19,0,20,120,887,7.295387499999999,4.38719869858382,0.0001482615334680304,1.780362606048584,-0.01765536516904831,0.15145599842071533,1506,34694
20,0,20,120,987,10.0235875,6.486756699297617,-0.01625530980527401,1.7796082496643066,-0.03405139222741127,0.1619330793619156,1786,36480
21,0,20,120,394,10.094774999999998,5.145079179032109,-0.046061787754297256,1.777889609336853,-0.06384068727493286,0.3977454602718353,1341,37821
22,0,20,120,515,8.810025,5.420125832159062,-0.04454690217971802,1.7772414684295654,-0.062319315969944,0.4049201011657715,1435,39256
23,0,20,120,876,10.311562499999999,6.109483950441813,-0.009596437215805054,1.7771492004394531,-0.027367928996682167,0.1511426866054535,2127,41383
24,0,20,120,988,10.940975,6.581147107901639,-0.047934774309396744,1.773389458656311,-0.06566867232322693,0.33192598819732666,1361,42744
25,0,20,120,949,10.3003125,6.485866563128122,-0.018211565911769867,1.7744885683059692,-0.035956449806690216,0.24465332925319672,2050,44794
26,0,20,120,804,6.053099999999999,2.646656268834257,-0.02224014513194561,1.772404432296753,-0.03996419161558151,0.3161012828350067,1788,46582
27,0,20,120,714,11.356737500000001,6.360992257165945,-0.019132044166326523,1.7725995779037476,-0.03685803711414337,0.24623072147369385,1799,48381
28,0,20,120,920,11.412475,6.268684941642693,-0.03918617591261864,1.7695789337158203,-0.05688196420669556,0.21479137241840363,1750,50131
29,0,20,120,977,15.033112499999998,7.736707541539004,-0.06343477219343185,1.7694882154464722,-0.08112965524196625,0.3369469940662384,2337,52468
30,0,20,120,845,8.7143875,5.527401377378109,-0.02496165968477726,1.765711784362793,-0.042618777602910995,0.3436330258846283,1438,53906
31,0,20,120,779,10.144025,5.14132255444007,-0.025243042036890984,1.7652931213378906,-0.04289597272872925,0.1469828188419342,1933,55839
32,0,20,120,310,16.7464875,9.139727033186528,-0.03643294423818588,1.7622056007385254,-0.054054997861385345,0.262004554271698,2008,57847
33,0,20,120,980,10.775312499999998,6.3938216089054825,-0.04740148410201073,1.761772632598877,-0.06501921266317368,0.3132796287536621,1533,59380
34,0,20,120,512,5.618575,3.657167492332823,-0.00038052917807362974,1.7582595348358154,-0.017963124439120293,0.10548648238182068,1963,61343
35,0,20,120,468,11.538349999999998,6.519624241863932,-0.0025551728904247284,1.7559456825256348,-0.020114628598093987,0.24392206966876984,1573,62916
36,0,20,120,900,14.687199999999999,9.427012358826723,-0.04337222874164581,1.7570264339447021,-0.06094249337911606,0.2939221262931824,2450,65366
37,0,20,120,353,7.015587499999999,4.090256253767047,0.009593244642019272,1.7508774995803833,-0.007915530353784561,0.19505675137043,1730,67096
38,0,20,120,694,14.828412499999999,7.553589882277578,-0.0204992163926363,1.7512446641921997,-0.038011662662029266,0.1585700958967209,1988,69084
39,0,20,120,997,16.0343625,10.011692371412037,-0.020332809537649155,1.748449683189392,-0.03781730681657791,0.2075808048248291,2258,71342
40,0,20,120,728,8.988325,5.207804303363307,0.0011802742956206203,1.748707890510559,-0.01630680449306965,0.08205647021532059,1869,73211
41,0,20,120,422,10.777849999999999,5.005752367518727,-0.0009494055993855,1.7464063167572021,-0.018413467332720757,0.19427943229675293,1798,75009
42,0,20,120,609,14.611462499999998,9.040396006727732,-0.03647995740175247,1.744891881942749,-0.05392887443304062,0.2273690104484558,1975,76984
43,0,20,120,808,16.9941125,10.406205965856364,-0.04336152970790863,1.7470510005950928,-0.06083203852176666,0.18951399624347687,3331,80315
44,0,20,120,537,17.9446625,10.430088713450846,-0.002223812509328127,1.7435688972473145,-0.01965950056910515,0.06580016016960144,2667,82982
45,0,20,120,737,14.348075,9.549787771406006,-0.06981584429740906,1.7384687662124634,-0.08720052987337112,0.3509194552898407,1622,84604
46,0,20,120,822,17.4745,10.508653254999096,-0.13798397779464722,1.7327369451522827,-0.15531134605407715,0.5740129947662354,1689,86293
47,0,20,120,923,14.422374999999999,10.137214867048845,-0.017803823575377464,1.7366468906402588,-0.0351702943444252,0.15977360308170319,2267,88560
48,0,20,120,514,10.998887499999999,6.276685396639388,-0.06665462255477905,1.7302097082138062,-0.08395671844482422,0.269459068775177,1919,90479
49,0,20,120,302,10.9894375,7.096767056341321,-0.04829537123441696,1.7251311540603638,-0.0655466839671135,0.24674373865127563,1557,92036
50,0,20,120,362,16.3043625,10.855469627515005,-0.015707209706306458,1.722750186920166,-0.03293471038341522,0.28248298168182373,2156,94192
51,0,20,120,873,12.416375,8.631147116345176,-0.0067089153453707695,1.7192989587783813,-0.023901905864477158,0.14618265628814697,1590,95782
52,0,20,120,899,23.384375,13.134076741933542,-0.05260804295539856,1.7216918468475342,-0.06982496380805969,0.24020422995090485,2808,98590
53,0,20,120,648,12.9090375,6.761599644226486,-0.09693755954504013,1.720139741897583,-0.11413896083831787,0.38881275057792664,2018,100608
