iteration,mean_undisc_return,policy_loss,value_loss,entropy,approx_kl,clip_frac,env_steps_cumulative
0,24.6782875,0.028952201828360558,2.8981454372406006,1.7860698699951172,0.005771769676357508,0.28125,4800
1,34.477774999999994,0.08961675316095352,3.714755058288574,1.7619088888168335,0.02170819789171219,0.3072916567325592,9600
2,41.370887499999995,0.12594164907932281,4.158358573913574,1.757521629333496,0.005457900930196047,0.1197916641831398,14400
3,39.131975,0.021643904969096184,6.125692844390869,1.7320491075515747,-0.002432679058983922,0.203125,19200
4,56.370824999999996,-0.08697862178087234,6.679345607757568,1.6760460138320923,0.013662020675837994,0.2135416716337204,24000
5,60.8514875,-0.03135247901082039,8.85811710357666,1.6129039525985718,0.0023035916965454817,0.0,28800
6,69.25935,-0.05591587722301483,8.583195686340332,1.500156044960022,0.00926761794835329,0.2135416716337204,33600
7,78.682625,0.027289099991321564,9.85203742980957,1.3393316268920898,0.019212795421481133,0.40625,38400
8,84.8445125,-0.05156676098704338,11.922989845275879,1.2555348873138428,0.01735766977071762,0.015625,43200
9,88.580625,0.1189923882484436,17.2860107421875,1.1590337753295898,0.01624043844640255,0.03125,48000
10,88.6205875,0.01850465126335621,16.68181800842285,0.9955201745033264,0.019632702693343163,0.140625,52800
11,103.0204375,0.035887908190488815,19.80103874206543,0.9426981806755066,0.004511503502726555,0.02604166604578495,57600
12,101.073,-0.11026936024427414,20.123058319091797,0.7990140318870544,0.02277567982673645,0.046875,62400
13,95.58336249999999,-0.02764161117374897,16.141019821166992,0.7314850687980652,-0.0023597602266818285,0.015625,67200
14,96.76192499999999,-0.0009314182098023593,26.12178611755371,0.7799598574638367,0.0036564345937222242,0.0,72000
15,93.178325,-0.10427963733673096,18.646875381469727,0.7048623561859131,0.007452902849763632,0.0,76800
16,86.908,-0.10010852664709091,16.89455223083496,0.6109399199485779,0.0040600113570690155,0.0364583320915699,81600
17,93.04509999999999,0.009623999707400799,25.484907150268555,0.6788673996925354,0.008988195098936558,0.010416666977107525,86400
18,87.3843,0.02681601606309414,19.934986114501953,0.6346070170402527,-0.00016735121607780457,0.0,91200
19,88.60015,0.0998409166932106,26.56346893310547,0.5860065817832947,0.0056511410512030125,0.0,96000
20,94.4809125,0.04456592723727226,30.195016860961914,0.5549119114875793,0.0002961742284242064,0.0,100800
21,104.42048750000001,-0.07041829079389572,24.59709930419922,0.5141004920005798,0.0011351903667673469,0.0416666679084301,105600
22,101.45745000000001,0.04110221192240715,31.455869674682617,0.467810720205307,0.006153082009404898,0.0,110400
23,101.131025,-0.030290408059954643,31.507156372070312,0.46293044090270996,0.00020503129053395241,0.0052083334885537624,115200
24,101.529875,0.03122626058757305,26.070785522460938,0.4505681097507477,0.0004834135470446199,0.0052083334885537624,120000
25,80.47772499999999,-0.07890848070383072,31.92100715637207,0.47981616854667664,0.004617589060217142,0.0,124800
26,81.7635875,0.07433626800775528,29.2654972076416,0.48920300602912903,-0.001746219932101667,0.0,129600
27,94.5081375,-0.10865696519613266,24.131460189819336,0.4606936275959015,0.005176100879907608,0.0364583320915699,134400
28,95.4117,-0.03673065826296806,23.831079483032227,0.4964691400527954,-0.0006980945472605526,0.0677083358168602,139200
29,88.928225,0.02738094888627529,29.90094566345215,0.5050578713417053,0.0058239600621163845,0.0052083334885537624,144000
30,98.46844999999999,0.10542377084493637,40.36320877075195,0.4630601704120636,0.002359451027587056,0.046875,148800
31,91.0167625,-0.06777074187994003,23.84954833984375,0.4095073938369751,0.0012182494392618537,0.010416666977107525,153600
32,99.785575,0.010764166712760925,36.148136138916016,0.42945170402526855,0.002233412116765976,0.015625,158400
33,92.30687499999999,0.08099693059921265,31.59797477722168,0.369785338640213,-0.007789492607116699,0.02083333395421505,163200
34,107.2416,-0.11154812574386597,22.143842697143555,0.413504034280777,0.0030274614691734314,0.010416666977107525,168000
35,91.4890125,0.0028950616251677275,22.6340389251709,0.3973315954208374,0.002454674569889903,0.0052083334885537624,172800
36,99.649,-0.08500424027442932,24.913339614868164,0.46070778369903564,0.0037102859932929277,0.0,177600
37,98.91908749999999,0.029522376134991646,37.304534912109375,0.48062586784362793,0.0023082096595317125,0.0,182400
38,95.441625,-0.10650704056024551,20.230009078979492,0.48388877511024475,0.0006709173321723938,0.0,187200
39,88.802975,-0.05862945318222046,17.84968376159668,0.5259376764297485,-0.0008778423070907593,0.0,192000
40,99.1036125,0.0035503830295056105,28.32410430908203,0.5155245661735535,0.0022017695009708405,0.0364583320915699,196800
41,96.77235,0.004403848201036453,30.16568946838379,0.4900873005390167,-0.007229220122098923,0.0052083334885537624,201600
42,98.5537875,-0.04061106964945793,24.34142303466797,0.47908639907836914,0.0033345744013786316,0.02083333395421505,206400
43,114.8260625,-0.08593762665987015,27.27082633972168,0.510745108127594,0.0005745974485762417,0.0,211200
