iteration,mean_undisc_return,policy_loss,value_loss,entropy,approx_kl,clip_frac,env_steps_cumulative
0,371.3459375,-0.07330632954835892,932.655517578125,1.7622441053390503,0.031486865133047104,0.09375,4800
1,394.9949375,0.11128596216440201,785.1107788085938,1.7371214628219604,0.008168247528374195,0.0416666679084301,9600
2,389.10643749999997,0.03945443034172058,877.9607543945312,1.7091064453125,0.0043287682346999645,0.390625,14400
3,430.05295,0.014378644526004791,1266.025634765625,1.6450872421264648,0.026980990543961525,0.2239583283662796,19200
4,409.76108750000003,0.1246289536356926,877.9562377929688,1.5463627576828003,0.025215918198227882,0.2135416716337204,24000
5,455.9112875,-0.056287940591573715,1573.49609375,1.4102891683578491,0.01057655829936266,0.0729166641831398,28800
6,383.57685,0.04168470576405525,997.3695678710938,1.3244692087173462,0.009843762964010239,0.0677083358168602,33600
7,403.23695,-0.027475224807858467,1408.2353515625,1.2238668203353882,0.010219722054898739,0.078125,38400
8,418.9018125,0.0037259284872561693,1320.7242431640625,1.2210382223129272,0.01190680917352438,0.0885416641831398,43200
9,419.65585,-0.041836172342300415,1648.5936279296875,1.2539641857147217,0.007564594969153404,0.1354166716337204,48000
10,446.106525,-0.13157396018505096,2312.9501953125,1.0784257650375366,0.017096340656280518,0.1145833358168602,52800
11,471.85285,-0.04627212882041931,1953.3404541015625,1.0376601219177246,-0.005667069461196661,0.1197916641831398,57600
12,399.2873875,0.05854977294802666,1153.186279296875,1.112636685371399,0.015619493089616299,0.15625,62400
13,451.19980000000004,0.06812911480665207,1189.0291748046875,1.0100288391113281,0.007366128731518984,0.1458333283662796,67200
14,460.18546249999997,0.019536403939127922,1682.1085205078125,1.2371360063552856,0.028842875733971596,0.1927083283662796,72000
15,461.2534625,-0.08058376610279083,2018.4326171875,1.102526307106018,0.0019967418629676104,0.1354166716337204,76800
16,435.255975,-0.0033055294770747423,1364.095703125,1.2599862813949585,0.025424271821975708,0.1927083283662796,81600
17,468.20405,0.0239537563174963,1731.3876953125,1.197918176651001,0.005182132590562105,0.015625,86400
18,387.47081249999997,-0.03617933765053749,1388.2828369140625,1.3621200323104858,0.04974934831261635,0.2395833283662796,91200
