alpha,beta,gamma,cell_id,is_reference,reference_name,num_seeds,mean_utility_mean,mean_utility_std,cell_utility_mean,completion_rate_mean,value_weighted_completion_rate_mean,uncapped_completion_rate_mean,cost_mean,failure_rate_mean
2.0,0.05,0.5,alpha=2_beta=0.05_gamma=0.5,False,,20,113.87735,28.717397,331.642675,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.05,1.0,alpha=2_beta=0.05_gamma=1,False,,20,113.87735,28.717397,324.442675,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.05,2.0,alpha=2_beta=0.05_gamma=2,False,,20,113.87735,28.717397,310.042675,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.05,4.0,alpha=2_beta=0.05_gamma=4,False,,20,113.87735,28.717397,281.242675,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.1,0.5,alpha=2_beta=0.1_gamma=0.5,False,,20,113.87735,28.717397,304.21335,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.1,1.0,alpha=2_beta=0.1_gamma=1,False,,20,113.87735,28.717397,297.01335,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.1,2.0,alpha=2_beta=0.1_gamma=2,False,,20,113.87735,28.717397,282.61335,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.1,4.0,alpha=2_beta=0.1_gamma=4,False,,20,113.87735,28.717397,253.81335,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.25,0.5,alpha=2_beta=0.25_gamma=0.5,False,,20,113.87735,28.717397,221.925375,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.25,1.0,alpha=2_beta=0.25_gamma=1,False,,20,113.87735,28.717397,214.725375,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.25,2.0,alpha=2_beta=0.25_gamma=2,False,,20,113.87735,28.717397,200.325375,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.25,4.0,alpha=2_beta=0.25_gamma=4,False,,20,113.87735,28.717397,171.525375,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.5,0.5,alpha=2_beta=0.5_gamma=0.5,False,,20,113.87735,28.717397,84.77875,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.5,1.0,alpha=2_beta=0.5_gamma=1,False,,20,113.87735,28.717397,77.57875,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.5,2.0,alpha=2_beta=0.5_gamma=2,False,,20,113.87735,28.717397,63.17875,0.5415,0.61477,0.5415,548.5865,0.144
2.0,0.5,4.0,alpha=2_beta=0.5_gamma=4,False,,20,113.87735,28.717397,34.37875,0.5415,0.61477,0.5415,548.5865,0.144
2.0,1.0,0.5,alpha=2_beta=1_gamma=0.5,False,,20,113.87735,28.717397,-189.5145,0.5415,0.61477,0.5415,548.5865,0.144
2.0,1.0,1.0,alpha=2_beta=1_gamma=1,False,,20,113.87735,28.717397,-196.7145,0.5415,0.61477,0.5415,548.5865,0.144
2.0,1.0,2.0,alpha=2_beta=1_gamma=2,False,,20,113.87735,28.717397,-211.1145,0.5415,0.61477,0.5415,548.5865,0.144
2.0,1.0,4.0,alpha=2_beta=1_gamma=4,False,,20,113.87735,28.717397,-239.9145,0.5415,0.61477,0.5415,548.5865,0.144
4.0,0.05,0.5,alpha=4_beta=0.05_gamma=0.5,False,,20,116.92008,24.420322,747.06754,0.5995,0.66142,0.5995,643.2492,0.155
4.0,0.05,1.0,alpha=4_beta=0.05_gamma=1,False,,20,117.23976,24.391272,739.93113,0.6,0.66182,0.6,641.7774,0.1545
4.0,0.05,2.0,alpha=4_beta=0.05_gamma=2,False,,20,116.86888,24.337148,722.00519,0.5975,0.659735,0.5975,638.6562,0.155
4.0,0.05,4.0,alpha=4_beta=0.05_gamma=4,False,,20,116.86663,24.966055,688.249565,0.5915,0.65556,0.5915,630.8087,0.1505
4.0,0.1,0.5,alpha=4_beta=0.1_gamma=0.5,False,,20,117.23976,24.391272,715.56726,0.6,0.66182,0.6,641.7774,0.1545
4.0,0.1,1.0,alpha=4_beta=0.1_gamma=1,False,,20,117.23976,24.391272,707.84226,0.6,0.66182,0.6,641.7774,0.1545
4.0,0.1,2.0,alpha=4_beta=0.1_gamma=2,False,,20,117.07914,24.521582,691.02114,0.5985,0.6605,0.5985,639.3486,0.1545
4.0,0.1,4.0,alpha=4_beta=0.1_gamma=4,False,,20,116.74692,25.003112,655.62492,0.59,0.654295,0.59,628.7908,0.15
4.0,0.25,0.5,alpha=4_beta=0.25_gamma=0.5,False,,20,117.23976,24.391272,619.30065,0.6,0.66182,0.6,641.7774,0.1545
4.0,0.25,1.0,alpha=4_beta=0.25_gamma=1,False,,20,116.90896,24.352212,609.9229,0.598,0.660175,0.598,640.5804,0.154
4.0,0.25,2.0,alpha=4_beta=0.25_gamma=2,False,,20,117.10666,25.191219,594.2449,0.5975,0.658535,0.5975,634.7884,0.153
4.0,0.25,4.0,alpha=4_beta=0.25_gamma=4,False,,20,117.07176,24.951004,561.1284,0.5855,0.651625,0.5855,618.9424,0.149
4.0,0.5,0.5,alpha=4_beta=0.5_gamma=0.5,False,,20,116.72503,24.922692,456.43915,0.597,0.658285,0.597,638.3597,0.1525
4.0,0.5,1.0,alpha=4_beta=0.5_gamma=1,False,,20,116.95084,24.983263,450.3182,0.597,0.658365,0.597,635.3516,0.1535
4.0,0.5,2.0,alpha=4_beta=0.5_gamma=2,False,,20,115.78468,24.811678,430.3224,0.589,0.652795,0.589,632.1632,0.152
4.0,0.5,4.0,alpha=4_beta=0.5_gamma=4,False,,20,117.25214,24.813244,406.5927,0.59,0.653935,0.59,624.1586,0.149
4.0,1.0,0.5,alpha=4_beta=1_gamma=0.5,False,,20,115.62488,27.673754,149.3638,0.5785,0.64356,0.5785,609.1012,0.1495
4.0,1.0,1.0,alpha=4_beta=1_gamma=1,False,,20,117.68068,24.054836,145.0498,0.5895,0.653645,0.5895,617.7882,0.15
4.0,1.0,2.0,alpha=4_beta=1_gamma=2,False,,20,117.35224,26.216937,130.3984,0.587,0.6515,0.587,615.0176,0.15
4.0,1.0,4.0,alpha=4_beta=1_gamma=4,False,,20,118.2382,22.870656,109.549,0.5835,0.652325,0.5835,605.673,0.1525
1.0,0.4,0.8,alpha=1_beta=0.4_gamma=0.8,True,midterm_utility,20,113.87735,28.717397,-47.8186,0.5415,0.61477,0.5415,548.5865,0.144
