projection,alpha,beta,gamma,cell_id,is_reference,reference_name,mean_utility_mean,completion_rate_mean,cost_mean,failure_rate_mean
completion_vs_cost,2.0,0.5,2.0,alpha=2_beta=0.5_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,2.0,0.5,4.0,alpha=2_beta=0.5_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,2.0,1.0,0.5,alpha=2_beta=1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,2.0,1.0,1.0,alpha=2_beta=1_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,2.0,1.0,2.0,alpha=2_beta=1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,2.0,1.0,4.0,alpha=2_beta=1_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,4.0,0.05,1.0,alpha=4_beta=0.05_gamma=1,False,,117.23976,0.6,641.7774,0.1545
completion_vs_cost,4.0,0.05,4.0,alpha=4_beta=0.05_gamma=4,False,,116.86663,0.5915,630.8087,0.1505
completion_vs_cost,4.0,0.1,0.5,alpha=4_beta=0.1_gamma=0.5,False,,117.23976,0.6,641.7774,0.1545
completion_vs_cost,4.0,0.1,1.0,alpha=4_beta=0.1_gamma=1,False,,117.23976,0.6,641.7774,0.1545
completion_vs_cost,4.0,0.1,2.0,alpha=4_beta=0.1_gamma=2,False,,117.07914,0.5985,639.3486,0.1545
completion_vs_cost,4.0,0.25,0.5,alpha=4_beta=0.25_gamma=0.5,False,,117.23976,0.6,641.7774,0.1545
completion_vs_cost,4.0,0.25,2.0,alpha=4_beta=0.25_gamma=2,False,,117.10666,0.5975,634.7884,0.153
completion_vs_cost,4.0,0.5,4.0,alpha=4_beta=0.5_gamma=4,False,,117.25214,0.59,624.1586,0.149
completion_vs_cost,4.0,1.0,1.0,alpha=4_beta=1_gamma=1,False,,117.68068,0.5895,617.7882,0.15
completion_vs_cost,4.0,1.0,2.0,alpha=4_beta=1_gamma=2,False,,117.35224,0.587,615.0176,0.15
completion_vs_cost,4.0,1.0,4.0,alpha=4_beta=1_gamma=4,False,,118.2382,0.5835,605.673,0.1525
completion_vs_cost,1.0,0.4,0.8,alpha=1_beta=0.4_gamma=0.8,True,midterm_utility,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.1,1.0,alpha=0.5_beta=0.1_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.1,2.0,alpha=0.5_beta=0.1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.25,0.5,alpha=0.5_beta=0.25_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.25,1.0,alpha=0.5_beta=0.25_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.25,2.0,alpha=0.5_beta=0.25_gamma=2,False,,113.67049,0.5395,547.4301,0.143
completion_vs_failure,0.5,0.5,0.5,alpha=0.5_beta=0.5_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,0.5,1.0,alpha=0.5_beta=0.5_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,113.88378,0.541,547.9472,0.1435
completion_vs_failure,0.5,1.0,2.0,alpha=0.5_beta=1_gamma=2,False,,111.37856,0.528,544.5094,0.14
completion_vs_failure,0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,100.86168,0.475,503.8382,0.134
completion_vs_failure,1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.05,2.0,alpha=1_beta=0.05_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.1,0.5,alpha=1_beta=0.1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.1,1.0,alpha=1_beta=0.1_gamma=1,True,phase1_default,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.1,2.0,alpha=1_beta=0.1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.25,0.5,alpha=1_beta=0.25_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.25,1.0,alpha=1_beta=0.25_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.25,2.0,alpha=1_beta=0.25_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.5,0.5,alpha=1_beta=0.5_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.5,1.0,alpha=1_beta=0.5_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.5,2.0,alpha=1_beta=0.5_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,0.5,4.0,alpha=1_beta=0.5_gamma=4,False,,113.67049,0.5395,547.4301,0.143
completion_vs_failure,1.0,1.0,0.5,alpha=1_beta=1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,1.0,1.0,alpha=1_beta=1_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,1.0,1.0,2.0,alpha=1_beta=1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.05,0.5,alpha=2_beta=0.05_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.05,1.0,alpha=2_beta=0.05_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.05,2.0,alpha=2_beta=0.05_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.05,4.0,alpha=2_beta=0.05_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.1,0.5,alpha=2_beta=0.1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.1,1.0,alpha=2_beta=0.1_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.1,2.0,alpha=2_beta=0.1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.1,4.0,alpha=2_beta=0.1_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.25,0.5,alpha=2_beta=0.25_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.25,1.0,alpha=2_beta=0.25_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.25,2.0,alpha=2_beta=0.25_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.25,4.0,alpha=2_beta=0.25_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.5,0.5,alpha=2_beta=0.5_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.5,1.0,alpha=2_beta=0.5_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.5,2.0,alpha=2_beta=0.5_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,0.5,4.0,alpha=2_beta=0.5_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,1.0,0.5,alpha=2_beta=1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,1.0,1.0,alpha=2_beta=1_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,1.0,2.0,alpha=2_beta=1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,2.0,1.0,4.0,alpha=2_beta=1_gamma=4,False,,113.87735,0.5415,548.5865,0.144
completion_vs_failure,4.0,0.05,1.0,alpha=4_beta=0.05_gamma=1,False,,117.23976,0.6,641.7774,0.1545
completion_vs_failure,4.0,0.05,4.0,alpha=4_beta=0.05_gamma=4,False,,116.86663,0.5915,630.8087,0.1505
completion_vs_failure,4.0,0.1,0.5,alpha=4_beta=0.1_gamma=0.5,False,,117.23976,0.6,641.7774,0.1545
completion_vs_failure,4.0,0.1,1.0,alpha=4_beta=0.1_gamma=1,False,,117.23976,0.6,641.7774,0.1545
completion_vs_failure,4.0,0.25,0.5,alpha=4_beta=0.25_gamma=0.5,False,,117.23976,0.6,641.7774,0.1545
completion_vs_failure,4.0,0.25,1.0,alpha=4_beta=0.25_gamma=1,False,,116.90896,0.598,640.5804,0.154
completion_vs_failure,4.0,0.25,2.0,alpha=4_beta=0.25_gamma=2,False,,117.10666,0.5975,634.7884,0.153
completion_vs_failure,4.0,0.5,0.5,alpha=4_beta=0.5_gamma=0.5,False,,116.72503,0.597,638.3597,0.1525
completion_vs_failure,4.0,0.5,4.0,alpha=4_beta=0.5_gamma=4,False,,117.25214,0.59,624.1586,0.149
completion_vs_failure,1.0,0.4,0.8,alpha=1_beta=0.4_gamma=0.8,True,midterm_utility,113.87735,0.5415,548.5865,0.144
cost_vs_failure,0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,100.86168,0.475,503.8382,0.134
