alpha,beta,gamma,cell_id,is_reference,reference_name,seed,agent_name,mean_utility,cell_utility,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,cost,failure_rate,total_completed_value,total_job_value,completed_jobs,failed_jobs,steps_executed,hit_step_budget
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,17.1127,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,113,Utility-Based Agent (Non-Learning Baseline),121.8944,-9.0528,0.56,0.6141,0.56,397.756,0.2,181.67,295.82,56,20,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,114,Utility-Based Agent (Non-Learning Baseline),144.7388,23.3694,0.63,0.6775,0.63,479.812,0.14,206.72,305.11,63,14,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,115,Utility-Based Agent (Non-Learning Baseline),80.5076,19.2538,0.38,0.4976,0.38,582.524,0.06,144.76,290.94,38,6,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,116,Utility-Based Agent (Non-Learning Baseline),82.9366,2.9683,0.5,0.5775,0.5,670.034,0.11,160.94,278.66,50,11,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,117,Utility-Based Agent (Non-Learning Baseline),128.1314,18.5657,0.57,0.6376,0.57,352.786,0.13,176.41,276.68,57,13,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,-13.8415,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,119,Utility-Based Agent (Non-Learning Baseline),108.0536,-15.9732,0.58,0.6331,0.58,694.364,0.2,197.49,311.96,58,20,300,True
0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,100,Utility-Based Agent (Non-Learning Baseline),123.8726,32.5526,0.56,0.6601,0.56,587.674,0.17,199.64,302.44,56,17,300,True
0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,10.22,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,31.7046,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,57.2108,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,28.09,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
