alpha,beta,gamma,cell_id,is_reference,reference_name,seed,agent_name,mean_utility,cell_utility,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,cost,failure_rate,total_completed_value,total_job_value,completed_jobs,failed_jobs,steps_executed,hit_step_budget
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,108,Utility-Based Agent (Non-Learning Baseline),113.2962,52.1481,0.58,0.6234,0.58,714.438,0.09,193.74,310.76,58,9,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,109,Utility-Based Agent (Non-Learning Baseline),78.7434,29.3717,0.48,0.5667,0.48,629.366,0.2,161.68,285.3,48,20,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,110,Utility-Based Agent (Non-Learning Baseline),104.557,44.7785,0.56,0.6661,0.56,769.63,0.15,196.52,295.03,56,15,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,33.4671,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,50.1127,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,62.5489,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,68.0321,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,34.0459,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,39.3691,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,59.5723,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,52.1585,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,48.7603,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,100,Utility-Based Agent (Non-Learning Baseline),123.8726,36.4363,0.56,0.6601,0.56,587.674,0.17,199.64,302.44,56,17,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,16.5075,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,33.6773,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,53.0504,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,49.1875,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,16.3056,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,66.7006,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,107,Utility-Based Agent (Non-Learning Baseline),103.0862,39.5431,0.48,0.5821,0.48,531.738,0.08,164.26,282.18,48,8,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,108,Utility-Based Agent (Non-Learning Baseline),113.2962,43.1481,0.58,0.6234,0.58,714.438,0.09,193.74,310.76,58,9,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,109,Utility-Based Agent (Non-Learning Baseline),78.7434,9.3717,0.48,0.5667,0.48,629.366,0.2,161.68,285.3,48,20,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,110,Utility-Based Agent (Non-Learning Baseline),104.557,29.7785,0.56,0.6661,0.56,769.63,0.15,196.52,295.03,56,15,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,24.4671,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,39.1127,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,44.5489,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,53.0321,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,24.0459,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,24.3691,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,46.5723,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,30.1585,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,26.7603,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,100,Utility-Based Agent (Non-Learning Baseline),131.1326,30.5663,0.49,0.605,0.49,418.374,0.1,182.97,302.44,49,10,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,101,Utility-Based Agent (Non-Learning Baseline),86.79,-30.105,0.52,0.5931,0.52,729.7,0.21,180.76,304.75,52,21,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,102,Utility-Based Agent (Non-Learning Baseline),98.2572,-10.3714,0.52,0.554,0.52,596.328,0.17,174.89,315.67,52,17,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,103,Utility-Based Agent (Non-Learning Baseline),152.3868,20.1934,0.6,0.6615,0.6,237.632,0.16,192.15,290.48,60,16,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,29.1875,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,0.3056,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,106,Utility-Based Agent (Non-Learning Baseline),153.9316,27.9658,0.6,0.7058,0.6,568.184,0.14,224.75,318.44,60,14,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,107,Utility-Based Agent (Non-Learning Baseline),97.4554,6.7277,0.49,0.582,0.49,547.746,0.12,164.23,282.18,49,12,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,108,Utility-Based Agent (Non-Learning Baseline),124.7726,-0.6137,0.59,0.6668,0.59,644.274,0.18,207.2,310.76,59,18,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,109,Utility-Based Agent (Non-Learning Baseline),77.5518,-31.2241,0.47,0.5579,0.47,616.182,0.2,159.17,285.3,47,20,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,110,Utility-Based Agent (Non-Learning Baseline),104.7414,3.3707,0.56,0.6605,0.56,761.286,0.14,194.87,295.03,56,14,300,True
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,6.4671,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
